H_A_per_m,B_T
2.370256220136070624e+00,4.499986921236818344e-02
2.383392511532292701e+00,4.524986775890972590e-02
2.396527342862100340e+00,4.549986629685705969e-02
2.409660696401260793e+00,4.574986482693044892e-02
2.422792554381885566e+00,4.599986334863375576e-02
2.435922899123397656e+00,4.624986186274312322e-02
2.449051712901564315e+00,4.649986036880932733e-02
2.462178978035808541e+00,4.674985886681563840e-02
2.475304676889209077e+00,4.699985735717372021e-02
2.488428791781188920e+00,4.724985583905630393e-02
2.501551305118482560e+00,4.749985431288739068e-02
2.514672199307824485e+00,4.774985277867502959e-02
2.527791456799604930e+00,4.799985123683878085e-02
2.540909060000558384e+00,4.824984968654155715e-02
2.554024991404730827e+00,4.849984812818115831e-02
2.567139233549823985e+00,4.874984656255453019e-02
2.580251768886228092e+00,4.899984498835668195e-02
2.593362579995300621e+00,4.924984340633761087e-02
2.606471649458399042e+00,4.949984181680164297e-02
2.619578959813225083e+00,4.974984021877033175e-02
2.632684493684791960e+00,4.999983861247588729e-02
2.645788233741768636e+00,5.024983699852493546e-02
2.658890162609168328e+00,5.049983537622860369e-02
2.671990262999315746e+00,5.074983374609701170e-02
2.685088517624535598e+00,5.099983210816946833e-02
2.698184909197152592e+00,5.124983046201013470e-02
2.711279420516802929e+00,5.149982880837064569e-02
2.724372034339467064e+00,5.174982714668602268e-02
2.737462733464781195e+00,5.199982547673725336e-02
2.750551500736037269e+00,5.224982379864759330e-02
2.763638319040182978e+00,5.249982211287878425e-02
2.776723171264166012e+00,5.274982041939327987e-02
2.789806040294934064e+00,5.299981871764989499e-02
2.802886909106746316e+00,5.324981700826834918e-02
2.815965760630206205e+00,5.349981529052263984e-02
2.829042577883228660e+00,5.374981356484009182e-02
2.842117343883728608e+00,5.399981183112887578e-02
2.855190041693276726e+00,5.424981008960860773e-02
2.868260654373443685e+00,5.449980833997176977e-02
2.881329165029455908e+00,5.474980658221466345e-02
2.894395556810195558e+00,5.499980481663384324e-02
2.907459812864544801e+00,5.524980304298717643e-02
2.920521916385041550e+00,5.549980126132520591e-02
2.933581850607879460e+00,5.574979947198769464e-02
2.946639598769252189e+00,5.599979767476427617e-02
2.959695144149009138e+00,5.624979586972631007e-02
2.972748470026999712e+00,5.649979405638728969e-02
2.985799559770384803e+00,5.674979223537134077e-02
2.998848396702669561e+00,5.699979040590116147e-02
3.011894964234670624e+00,5.724978856830300472e-02
3.024939245820860378e+00,5.749978672316731487e-02
3.037981224872055463e+00,5.774978486967154850e-02
3.051020884930039756e+00,5.799978300892363187e-02
3.064058209449285641e+00,5.824978113977408861e-02
3.077093182015232742e+00,5.849977926299727848e-02
3.090125786169664934e+00,5.874977737793962013e-02
3.103156005541677587e+00,5.899977548502782082e-02
3.116183823760366067e+00,5.924977358409072581e-02
3.129209224498481490e+00,5.949977167519338028e-02
3.142232191472430713e+00,5.974976975863376116e-02
3.155252708398620598e+00,5.999976783410136683e-02
3.168270759037113748e+00,6.024976590151172318e-02
3.181286327191628516e+00,6.049976396100319176e-02
3.194299396665883251e+00,6.074976201209515009e-02
3.207309951350907795e+00,6.099976005536189572e-02
3.220317975137731992e+00,6.124975809075222655e-02
3.233323451961041428e+00,6.149975611842480039e-02
3.246326365755521692e+00,6.174975413790570467e-02
3.259326700543169864e+00,6.199975214976375520e-02
3.272324440345983021e+00,6.224975015392880673e-02
3.285319569185958244e+00,6.249974814968797115e-02
3.298312071172404103e+00,6.274974613736197804e-02
3.311301930458284914e+00,6.299974411746284142e-02
3.324289131196564995e+00,6.324974208985038870e-02
3.337273657540208660e+00,6.349974005372868713e-02
3.350255493773147464e+00,6.374973801016449448e-02
3.363234624135657214e+00,6.399973595872236742e-02
3.376211032911669463e+00,6.424973389914227784e-02
3.389184704428771511e+00,6.449973183133685117e-02
3.402155623101862147e+00,6.474972975623011218e-02
3.415123773302184418e+00,6.499972767323035361e-02
3.428089139444637112e+00,6.524972558190951510e-02
3.441051706031430513e+00,6.549972348284235912e-02
3.454011457564774901e+00,6.574972137592027810e-02
3.466968378590536304e+00,6.599971926118998466e-02
3.479922453698236495e+00,6.624971713885095814e-02
3.492873667477397248e+00,6.649971500840985705e-02
3.505822004561196081e+00,6.674971286952002814e-02
3.518767449670122005e+00,6.699971072282204232e-02
3.531709987524664029e+00,6.724970856825521204e-02
3.544649602888966911e+00,6.749970640589772475e-02
3.557586280570831150e+00,6.774970423596402003e-02
3.570520005378057249e+00,6.799970205795839717e-02
3.583450762205757201e+00,6.824969987235965374e-02
3.596378535949042998e+00,6.849969767893102079e-02
3.609303311546682380e+00,6.874969547756119848e-02
3.622225073981098831e+00,6.899969326826185800e-02
3.635143808278371580e+00,6.924969105116525470e-02
3.648059499464579858e+00,6.949968882567664208e-02
3.660972132653114386e+00,6.974968659216157496e-02
3.673881693001021631e+00,6.999968435109893417e-02
3.686788165665348060e+00,7.024968210223288267e-02
3.699691535846795887e+00,7.049967984541551103e-02
3.712591788789723068e+00,7.074967758060446421e-02
3.725488909782143310e+00,7.099967530786061021e-02
3.738382884155726060e+00,7.124967302734583341e-02
3.751273697285796516e+00,7.149967073932074479e-02
3.764161334547679871e+00,7.174966844329550009e-02
3.777045781404012814e+00,7.199966613972090534e-02
3.789927023273776285e+00,7.224966382744514581e-02
3.802805045750574209e+00,7.249966150794735775e-02
3.815679834340699017e+00,7.274965918025198819e-02
3.828551374681410380e+00,7.299965684516346309e-02
3.841419652366312221e+00,7.324965450187331806e-02
3.854284653076319955e+00,7.349965215050136003e-02
3.867146362536004744e+00,7.374964979124587483e-02
3.880004766513593495e+00,7.399964742438175369e-02
3.892859850777313113e+00,7.424964504940927135e-02
3.905711601182701997e+00,7.449964266674966029e-02
3.918560003585298546e+00,7.474964027604513728e-02
3.931405043927952647e+00,7.499963787785540736e-02
3.944246708153514192e+00,7.524963547195681612e-02
3.957084982248488814e+00,7.549963305818951920e-02
3.969919852243037894e+00,7.574963063645566430e-02
3.982751304210978560e+00,7.599962820671743446e-02
3.995579324269783683e+00,7.624962576899524391e-02
4.008404645224800333e+00,7.649962332397623743e-02
4.021229775404208340e+00,7.674962087119344134e-02
4.034054903837386519e+00,7.699961841076068125e-02
4.046880012931069359e+00,7.724961594254839414e-02
4.059705085091991350e+00,7.749961346642184057e-02
4.072530102726886980e+00,7.774961098223649725e-02
4.085355048242490739e+00,7.799960848983328310e-02
4.098179904089192860e+00,7.824960598988489613e-02
4.111004652673727833e+00,7.849960348218913697e-02
4.123829276402830146e+00,7.874960096651509311e-02
4.136653757726890035e+00,7.899959844344967008e-02
4.149478079052641988e+00,7.924959591269063741e-02
4.162302222786820494e+00,7.949959337389307656e-02
4.175126171336160041e+00,7.974959082666467636e-02
4.187949907194706611e+00,7.999958827226309743e-02
4.200773412769194692e+00,8.024958571018708797e-02
4.213596670466358773e+00,8.049958313987395919e-02
4.226419662736589089e+00,8.074958056154590835e-02
4.239242372030275874e+00,8.099957797535424497e-02
4.252064780797809362e+00,8.124957538137485280e-02
4.264886871489579789e+00,8.149957277960334645e-02
