time_s,I_A
2.289999999999999826e-04,2.409515971387736401e-03
2.299999999999999799e-04,2.419951396656688444e-03
2.309999999999999771e-04,2.430384979897644206e-03
2.320000000000000014e-04,2.440816707944031688e-03
2.329999999999999986e-04,2.451246567559428515e-03
2.339999999999999958e-04,2.461674545612186141e-03
2.349999999999999930e-04,2.472100628935732132e-03
2.359999999999999902e-04,2.482524804433341829e-03
2.369999999999999874e-04,2.492947059008292741e-03
2.379999999999999846e-04,2.503367379598785396e-03
2.389999999999999818e-04,2.513785753177944643e-03
2.399999999999999790e-04,2.524202166718896197e-03
2.409999999999999762e-04,2.534616607229690961e-03
2.420000000000000005e-04,2.545029061753302860e-03
2.429999999999999977e-04,2.555439517332706682e-03
2.439999999999999949e-04,2.565847961080726294e-03
2.449999999999999921e-04,2.576254380110185559e-03
2.459999999999999622e-04,2.586658761568833096e-03
2.469999999999999865e-04,2.597061092604417525e-03
2.480000000000000108e-04,2.607461360434536104e-03
2.489999999999999809e-04,2.617859552276786527e-03
2.500000000000000052e-04,2.628255655348766921e-03
2.509999999999999753e-04,2.638649656937923187e-03
2.519999999999999996e-04,2.649041544366628146e-03
2.529999999999999697e-04,2.659431304957252020e-03
2.539999999999999940e-04,2.669818926032166764e-03
2.549999999999999641e-04,2.680204395018517729e-03
2.559999999999999884e-04,2.690587699308525944e-03
2.570000000000000127e-04,2.700968826329335892e-03
2.579999999999999828e-04,2.711347763543017243e-03
2.590000000000000071e-04,2.721724498481489611e-03
2.599999999999999772e-04,2.732099018641747853e-03
2.610000000000000015e-04,2.742471311555709848e-03
2.619999999999999716e-04,2.752841364825144282e-03
2.629999999999999959e-04,2.763209166051819841e-03
2.639999999999999660e-04,2.773574702872429101e-03
2.649999999999999903e-04,2.783937962958589387e-03
2.660000000000000146e-04,2.794298933981918028e-03
2.669999999999999847e-04,2.804657603648956672e-03
2.680000000000000090e-04,2.815013959736097776e-03
2.689999999999999791e-04,2.825367990019731629e-03
2.700000000000000035e-04,2.835719682311173707e-03
2.709999999999999735e-04,2.846069024456665108e-03
2.719999999999999979e-04,2.856416004302446063e-03
2.729999999999999680e-04,2.866760609764605876e-03
2.739999999999999923e-04,2.877102828759234288e-03
2.749999999999999624e-04,2.887442649237346223e-03
2.759999999999999867e-04,2.897780059184879194e-03
2.770000000000000110e-04,2.908115046622697202e-03
2.779999999999999811e-04,2.918447599571664247e-03
2.790000000000000054e-04,2.928777706122491671e-03
2.799999999999999755e-04,2.939105354400817303e-03
2.809999999999999998e-04,2.949430532532278538e-03
2.819999999999999699e-04,2.959753228677437092e-03
2.829999999999999942e-04,2.970073431031778136e-03
2.839999999999999643e-04,2.980391127825714626e-03
2.849999999999999886e-04,2.990706307324580808e-03
2.860000000000000129e-04,3.001018957828637413e-03
2.869999999999999830e-04,3.011329067638143873e-03
2.880000000000000073e-04,3.021636625123209994e-03
2.889999999999999774e-04,3.031941618619021263e-03
2.900000000000000017e-04,3.042244036600459580e-03
2.909999999999999718e-04,3.052543867472559073e-03
2.919999999999999961e-04,3.062841099745128130e-03
2.929999999999999662e-04,3.073135721893049954e-03
2.939999999999999905e-04,3.083427722461056387e-03
2.949999999999999606e-04,3.093717090028804025e-03
2.959999999999999849e-04,3.104003813210875085e-03
2.970000000000000092e-04,3.114287880621850486e-03
2.979999999999999793e-04,3.124569280946161518e-03
2.990000000000000036e-04,3.134848002868239041e-03
2.999999999999999737e-04,3.145124035142362121e-03
3.009999999999999980e-04,3.155397366522811123e-03
3.019999999999999681e-04,3.165667985798791169e-03
3.029999999999999924e-04,3.175935881794430399e-03
3.039999999999999625e-04,3.186201043368783008e-03
3.049999999999999868e-04,3.196463459415827078e-03
3.060000000000000111e-04,3.206723716179840124e-03
3.069999999999999812e-04,3.216983820323367042e-03
3.080000000000000055e-04,3.227243923069909003e-03
3.089999999999999756e-04,3.237504010344855604e-03
3.099999999999999999e-04,3.247764068073592976e-03
3.109999999999999700e-04,3.258024082181509851e-03
3.119999999999999944e-04,3.268284038593992791e-03
3.129999999999999644e-04,3.278543923271354417e-03
3.139999999999999888e-04,3.288803722138982158e-03
3.149999999999999589e-04,3.299063421122264313e-03
3.159999999999999832e-04,3.309323006181512199e-03
3.170000000000000075e-04,3.319582463242114114e-03
3.179999999999999776e-04,3.329841778229456623e-03
3.190000000000000019e-04,3.340100937068928456e-03
3.199999999999999720e-04,3.350359925755765252e-03
3.209999999999999963e-04,3.360618730215355742e-03
3.219999999999999664e-04,3.370877336373086924e-03
3.229999999999999907e-04,3.381135730189271417e-03
3.239999999999999608e-04,3.391393897624220971e-03
3.249999999999999851e-04,3.401651824638247772e-03
3.260000000000000094e-04,3.411909497191664004e-03
3.269999999999999795e-04,3.422166901244781852e-03
3.280000000000000038e-04,3.432424022792838689e-03
3.289999999999999739e-04,3.442680847761221512e-03
3.299999999999999982e-04,3.452937362145166826e-03
3.309999999999999683e-04,3.463193551939912004e-03
3.319999999999999926e-04,3.473449403105769231e-03
3.329999999999999627e-04,3.483704901637975013e-03
3.339999999999999870e-04,3.493960033531766721e-03
3.350000000000000113e-04,3.504214784782379993e-03
3.359999999999999814e-04,3.514469141419976957e-03
3.370000000000000057e-04,3.524723089439794552e-03
3.379999999999999758e-04,3.534976614837069282e-03
3.390000000000000001e-04,3.545229703641962406e-03
3.399999999999999702e-04,3.555482341884635619e-03
3.409999999999999945e-04,3.565734515595249746e-03
3.419999999999999646e-04,3.575986210838891666e-03
3.429999999999999889e-04,3.586237413610797019e-03
3.439999999999999590e-04,3.596488110010977873e-03
3.449999999999999833e-04,3.606738286069594620e-03
3.460000000000000076e-04,3.616987927851733273e-03
3.469999999999999777e-04,3.627237021457404165e-03
3.480000000000000020e-04,3.637485552951693745e-03
3.489999999999999721e-04,3.647733508399687592e-03
3.499999999999999964e-04,3.657980873936321660e-03
3.509999999999999665e-04,3.668227635661605417e-03
3.519999999999999908e-04,3.678473779675550497e-03
3.529999999999999609e-04,3.688719292113091987e-03
3.539999999999999853e-04,3.698964159074239356e-03
3.550000000000000096e-04,3.709208366728853311e-03
3.559999999999999797e-04,3.719451901211869374e-03
3.570000000000000040e-04,3.729694748658220899e-03
3.579999999999999741e-04,3.739936895272694649e-03
3.589999999999999984e-04,3.750178327225148732e-03
3.599999999999999685e-04,3.760419030685443424e-03
3.609999999999999928e-04,3.770658991858363319e-03
3.619999999999999629e-04,3.780898196913767828e-03
3.629999999999999872e-04,3.791136632126290620e-03
3.639999999999999573e-04,3.801374283665791103e-03
3.649999999999999816e-04,3.811611137806903381e-03
3.660000000000000059e-04,3.821847180789336804e-03
3.669999999999999760e-04,3.832082398852798989e-03
3.680000000000000003e-04,3.842316778306849659e-03
3.689999999999999704e-04,3.852550305391196431e-03
3.699999999999999947e-04,3.862782966415397728e-03
3.709999999999999648e-04,3.873014747689012410e-03
3.719999999999999891e-04,3.883245635521598467e-03
3.729999999999999592e-04,3.893475616222713022e-03
3.739999999999999835e-04,3.903704676171764875e-03
3.750000000000000078e-04,3.913932801678310716e-03
3.759999999999999779e-04,3.924159979121759345e-03
3.770000000000000022e-04,3.934386194916442148e-03
3.779999999999999723e-04,3.944611435406841435e-03
3.789999999999999966e-04,3.954835687007289026e-03
3.799999999999999667e-04,3.965058936132118475e-03
3.809999999999999910e-04,3.975281169230584187e-03
3.819999999999999611e-04,3.985502372751944036e-03
3.829999999999999854e-04,3.995722533145454163e-03
3.840000000000000097e-04,4.005941636860370705e-03
3.849999999999999798e-04,4.016159670415800180e-03
3.860000000000000041e-04,4.026376620295923046e-03
3.869999999999999742e-04,4.036592472984921499e-03
3.879999999999999985e-04,4.046807215071748960e-03
3.889999999999999686e-04,4.057020833040587623e-03
3.899999999999999929e-04,4.067233313480392645e-03
3.909999999999999630e-04,4.077444642980117447e-03
3.919999999999999873e-04,4.087654808128718051e-03
3.929999999999999574e-04,4.097863795515149614e-03
3.939999999999999817e-04,4.108071591763291612e-03
3.950000000000000061e-04,4.118278183497022654e-03
3.959999999999999762e-04,4.128483557410072592e-03
3.970000000000000005e-04,4.138687700126320035e-03
3.979999999999999706e-04,4.148890598374419154e-03
3.989999999999999949e-04,4.159092238813172880e-03
3.999999999999999650e-04,4.169292608171235384e-03
4.009999999999999893e-04,4.179491693212185159e-03
4.019999999999999594e-04,4.189689480664674642e-03
4.029999999999999837e-04,4.199885957292281459e-03
4.040000000000000080e-04,4.210081109893508422e-03
4.049999999999999781e-04,4.220274925266858344e-03
4.060000000000000024e-04,4.230467390245757492e-03
4.069999999999999725e-04,4.240658491663634733e-03
4.079999999999999968e-04,4.250848216388840653e-03
4.089999999999999669e-04,4.261036551289726707e-03
4.099999999999999912e-04,4.271223483269568667e-03
4.109999999999999613e-04,4.281408999231644044e-03
4.119999999999999856e-04,4.291593086079228611e-03
4.129999999999999557e-04,4.301775730785448518e-03
4.139999999999999800e-04,4.311956920323427311e-03
4.150000000000000043e-04,4.322136641701218064e-03
4.159999999999999744e-04,4.332314881891943456e-03
4.169999999999999987e-04,4.342491627938580012e-03
4.179999999999999688e-04,4.352666866884100788e-03
4.189999999999999931e-04,4.362840585806407497e-03
4.199999999999999632e-04,4.373012771783396646e-03
4.209999999999999875e-04,4.383183411892969082e-03
4.219999999999999576e-04,4.393352493282873424e-03
4.229999999999999819e-04,4.403520003100857422e-03
4.240000000000000062e-04,4.413685928529594016e-03
4.249999999999999763e-04,4.423850256716832692e-03
4.260000000000000006e-04,4.434012974915095030e-03
4.269999999999999707e-04,4.444174070307053970e-03
4.279999999999999950e-04,4.454333530180156278e-03
4.289999999999999651e-04,4.464491341786924403e-03
4.299999999999999894e-04,4.474647492414805978e-03
4.309999999999999595e-04,4.484801969386172094e-03
4.319999999999999838e-04,4.494954760023392969e-03
4.329999999999999539e-04,4.505105851683765747e-03
4.339999999999999782e-04,4.515255231759511025e-03
4.350000000000000026e-04,4.525402887642849398e-03
4.359999999999999726e-04,4.535548806760925783e-03
4.369999999999999970e-04,4.545692976575810285e-03
4.379999999999999671e-04,4.555835384514648687e-03
4.389999999999999914e-04,4.565976018109358867e-03
4.399999999999999615e-04,4.576114864856936117e-03
4.409999999999999858e-04,4.586251912289299182e-03
4.419999999999999559e-04,4.596387147938366807e-03
4.429999999999999802e-04,4.606520559405908113e-03
4.440000000000000045e-04,4.616652134328614807e-03
4.449999999999999746e-04,4.626781860308256007e-03
4.459999999999999989e-04,4.636909724981524289e-03
4.469999999999999690e-04,4.647035716020036546e-03
4.479999999999999933e-04,4.657159821165260047e-03
4.489999999999999634e-04,4.667282028088811686e-03
4.499999999999999877e-04,4.677402324567083054e-03
4.509999999999999578e-04,4.687520698376465740e-03
4.519999999999999821e-04,4.697637137293350466e-03
4.530000000000000064e-04,4.707751629129052276e-03
4.539999999999999765e-04,4.717864161764737455e-03
4.550000000000000008e-04,4.727974723046645365e-03
4.559999999999999709e-04,4.738083300855942294e-03
4.569999999999999952e-04,4.748189883143640565e-03
4.579999999999999653e-04,4.758294457825832519e-03
4.589999999999999896e-04,4.768397012853528745e-03
4.599999999999999597e-04,4.778497536247596281e-03
4.609999999999999840e-04,4.788596016028896091e-03
4.619999999999999541e-04,4.798692440253216930e-03
4.629999999999999784e-04,4.808786796941422366e-03
4.640000000000000027e-04,4.818879074254073247e-03
4.649999999999999728e-04,4.828969260246958328e-03
4.659999999999999971e-04,4.839057343115564513e-03
4.669999999999999672e-04,4.849143311020452651e-03
4.679999999999999915e-04,4.859227152157109646e-03
4.689999999999999616e-04,4.869308854755945853e-03
4.699999999999999859e-04,4.879388407047372499e-03
4.709999999999999560e-04,4.889465797331649446e-03
4.719999999999999803e-04,4.899541013909038296e-03
4.730000000000000046e-04,4.909614045114722367e-03
4.739999999999999747e-04,4.919684879318811030e-03
4.749999999999999990e-04,4.929753504891414527e-03
4.759999999999999691e-04,4.939819910237565684e-03
4.769999999999999934e-04,4.949884083797224249e-03
4.779999999999999635e-04,4.959946014045272557e-03
4.789999999999999879e-04,4.970005689491518129e-03
4.799999999999999580e-04,4.980063098645768488e-03
4.809999999999999823e-04,4.990118230052758078e-03
4.819999999999999524e-04,5.000171072292142194e-03
4.829999999999999767e-04,5.010221613978501319e-03
4.840000000000000010e-04,5.020269843726419406e-03
4.849999999999999711e-04,5.030315750220324712e-03
4.859999999999999954e-04,5.040359322109725509e-03
4.869999999999999655e-04,5.050400548148900430e-03
4.879999999999999898e-04,5.060439417057205520e-03
4.889999999999999599e-04,5.070475917623844600e-03
4.899999999999999842e-04,5.080510038672946677e-03
4.910000000000000085e-04,5.090541768993717305e-03
4.919999999999999244e-04,5.100571097480133265e-03
4.929999999999999487e-04,5.110598012991249620e-03
4.939999999999999730e-04,5.120622504455968338e-03
4.949999999999999973e-04,5.130644560803193990e-03
4.960000000000000216e-04,5.140664171031675451e-03
4.969999999999999375e-04,5.150681324140168535e-03
4.979999999999999618e-04,5.160696009162347303e-03
4.989999999999999861e-04,5.170708215166814475e-03
5.000000000000000104e-04,5.180717931222171037e-03
5.009999999999999263e-04,5.190725146466865746e-03
5.019999999999999506e-04,5.200729850039351697e-03
5.029999999999999749e-04,5.210732031113001969e-03
5.039999999999999992e-04,5.220731678896117431e-03
5.050000000000000235e-04,5.230728782666846724e-03
5.059999999999999394e-04,5.240723331668414170e-03
5.069999999999999637e-04,5.250715315178967543e-03
5.079999999999999880e-04,5.260704722546506729e-03
5.090000000000000123e-04,5.270691543153952462e-03
5.099999999999999282e-04,5.280675766349304627e-03
5.109999999999999525e-04,5.290657381585333469e-03
5.119999999999999768e-04,5.300636378279887512e-03
5.130000000000000011e-04,5.310612745920662188e-03
5.140000000000000254e-04,5.320586474030278984e-03
5.149999999999999413e-04,5.330557552131358519e-03
5.159999999999999656e-04,5.340525969816371787e-03
5.169999999999999899e-04,5.350491716677788917e-03
5.180000000000000143e-04,5.360454782343003488e-03
5.189999999999999301e-04,5.370415156474337738e-03
5.199999999999999544e-04,5.380372828803956474e-03
5.209999999999999788e-04,5.390327788994182800e-03
5.220000000000000031e-04,5.400280026847031033e-03
5.230000000000000274e-04,5.410229532129596369e-03
5.239999999999999433e-04,5.420176294678822650e-03
5.249999999999999676e-04,5.430120304331649377e-03
5.259999999999999919e-04,5.440061550959944710e-03
5.270000000000000162e-04,5.450000024470500262e-03
5.279999999999999321e-04,5.459935714839957155e-03
5.289999999999999564e-04,5.469868612010032188e-03
5.299999999999999807e-04,5.479798705992289069e-03
5.310000000000000050e-04,5.489725986833218427e-03
5.320000000000000293e-04,5.499650444614236078e-03
5.329999999999999452e-04,5.509572069416753502e-03
5.339999999999999695e-04,5.519490851357114307e-03
5.349999999999999938e-04,5.529406780621502933e-03
5.360000000000000181e-04,5.539319847396109026e-03
5.369999999999999340e-04,5.549230041936970871e-03
5.379999999999999583e-04,5.559137354465201568e-03
5.389999999999999826e-04,5.569041775306687175e-03
5.400000000000000069e-04,5.578943294752389433e-03
5.409999999999999228e-04,5.588841903198044775e-03
5.419999999999999471e-04,5.598737591004464449e-03
5.429999999999999714e-04,5.608630348567384891e-03
5.439999999999999957e-04,5.618520166387316363e-03
5.450000000000000200e-04,5.628407034929842206e-03
5.459999999999999359e-04,5.638290944695473553e-03
5.469999999999999602e-04,5.648171886254568438e-03
5.479999999999999845e-04,5.658049850177485768e-03
5.490000000000000088e-04,5.667924827069510500e-03
5.499999999999999247e-04,5.677796807570848446e-03
5.509999999999999490e-04,5.687665782391560128e-03
5.519999999999999733e-04,5.697531742206774809e-03
5.529999999999999976e-04,5.707394677796401652e-03
5.540000000000000219e-04,5.717254579905421165e-03
5.549999999999999378e-04,5.727111439383588548e-03
5.559999999999999621e-04,5.736965247045736419e-03
5.569999999999999864e-04,5.746815993741620845e-03
5.580000000000000107e-04,5.756663670425769125e-03
5.589999999999999266e-04,5.766508267982862514e-03
5.599999999999999509e-04,5.776349777437280418e-03
5.609999999999999752e-04,5.786188189778477056e-03
5.619999999999999996e-04,5.796023496030830099e-03
5.630000000000000239e-04,5.805855687288568462e-03
5.639999999999999397e-04,5.815684754610993268e-03
5.649999999999999641e-04,5.825510689162182940e-03
5.659999999999999884e-04,5.835333482141141087e-03
5.670000000000000127e-04,5.845153124711942663e-03
5.679999999999999286e-04,5.854969608108512996e-03
5.689999999999999529e-04,5.864782923634629525e-03
5.699999999999999772e-04,5.874593062559142764e-03
5.710000000000000015e-04,5.884400016220751872e-03
5.720000000000000258e-04,5.894203775993082928e-03
5.729999999999999417e-04,5.904004333284683728e-03
5.739999999999999660e-04,5.913801679539028994e-03
5.749999999999999903e-04,5.923595806199591710e-03
5.760000000000000146e-04,5.933386704779696104e-03
5.769999999999999305e-04,5.943174366827588123e-03
5.779999999999999548e-04,5.952958783891518051e-03
5.789999999999999791e-04,5.962739947554655286e-03
5.800000000000000034e-04,5.972517849470023940e-03
5.810000000000000277e-04,5.982292481325567242e-03
