H_A_per_m,B_T
2.250495734480607268e+02,1.327639828287356716e+00
2.241492619309877057e+02,1.327406161551646147e+00
2.231244375617653759e+02,1.327137064924689858e+00
2.219764252833723503e+02,1.326831662914391030e+00
2.207066685826408161e+02,1.326488970599294603e+00
2.193167277660988361e+02,1.326107896384899787e+00
2.178082781245650494e+02,1.325687244863384961e+00
2.161831079885914448e+02,1.325225719847267225e+00
2.144431166769483639e+02,1.324721927459809434e+00
2.125903123404495716e+02,1.324174379363944221e+00
2.106268097035120945e+02,1.323581496038177319e+00
2.085548277059391467e+02,1.322941610177435168e+00
2.063766870475098472e+02,1.322252970129297323e+00
2.040948076380457792e+02,1.321513743391697693e+00
2.017117059557151038e+02,1.320722020199131430e+00
1.992299923164143820e+02,1.319875817142244889e+00
1.966523680571529553e+02,1.318973080818839128e+00
1.939816226364409317e+02,1.318011691611581160e+00
1.912206306547556096e+02,1.316989467404574121e+00
1.883723487982334461e+02,1.315904167503908706e+00
1.854398127088049364e+02,1.314753496536059219e+00
1.824261337840484032e+02,1.313535108475182511e+00
1.793344959101069378e+02,1.312246610782765499e+00
1.761681521310667620e+02,1.310885568668149537e+00
1.729304212582493960e+02,1.309449509524816424e+00
1.696246844229238206e+02,1.307935927504287443e+00
1.662543815759869403e+02,1.306342288426691978e+00
1.628230079382120721e+02,1.304666034826726939e+00
1.593341104046948544e+02,1.302904591412677782e+00
1.557912839071719873e+02,1.301055370863736904e+00
1.521981677379145594e+02,1.299115780007743082e+00
1.485584418389282746e+02,1.297083226551803081e+00
1.448758230602190622e+02,1.294955126354526698e+00
1.411540613909005515e+02,1.292728911267803094e+00
1.373969361669428793e+02,1.290402037781170463e+00
1.336082522593684416e+02,1.287971996418331599e+00
1.297918362467168549e+02,1.285436322016528576e+00
1.259515325756032382e+02,1.282792604988764573e+00
1.220911997131983071e+02,1.280038503772071623e+00
1.182147062954559544e+02,1.277171900001374150e+00
1.143259272749078974e+02,1.274194224561729483e+00
1.104287400718405365e+02,1.271109109140056814e+00
1.065270207326480971e+02,1.267918536541059016e+00
1.026246400991476264e+02,1.264623508013033026e+00
9.872545999261642180e+01,1.261224507208101198e+00
9.483332941629014101e+01,1.257721758555061520e+00
9.095208078003051355e+01,1.254115385751285228e+00
8.708552615084511217e+01,1.250405518658609605e+00
8.323745353289918114e+01,1.246592371951822820e+00
7.941162318062868053e+01,1.242676307033867777e+00
7.561176394851760563e+01,1.238657887468539887e+00
7.184156968105878605e+01,1.234537924157864897e+00
6.810469564636922257e+01,1.230317523925801737e+00
6.440475501687690496e+01,1.225998131845648098e+00
6.074531540044647215e+01,1.221581575424101285e+00
5.712989542524422149e+01,1.217070107933515999e+00
5.356196138158988163e+01,1.212466454248522618e+00
5.004492392397309430e+01,1.207773853061409941e+00
4.658213483634700935e+01,1.202996102372633436e+00
4.317688386373942677e+01,1.198137604057683436e+00
3.983239561315266286e+01,1.193203407265996496e+00
3.655182652664070275e+01,1.188199251728141004e+00
3.333826192938060728e+01,1.183131608933283063e+00
3.019471315546824997e+01,1.178007721902853522e+00
2.712411475409044215e+01,1.172835638378600276e+00
2.412932177863237371e+01,1.167624245009870165e+00
2.121310716119720041e+01,1.162383291680384900e+00
1.837815917492076778e+01,1.157123411255828405e+00
1.562707898637191306e+01,1.151856132455268966e+00
1.296237830023477500e+01,1.146593881293334061e+00
1.038647709837191258e+01,1.141349973983076804e+00
7.901701475269263142e+00,1.136138598428660051e+00
5.510281571762192243e+00,1.130974781885115021e+00
3.214349608843022565e+00,1.125874344449161235e+00
1.015938023242156873e+00,1.120853838781263434e+00
-1.083022293625518273e+00,1.115930472971317089e+00
-3.080703651865619008e+00,1.111122017616684721e+00
-4.975383113085314335e+00,1.106446695844955919e+00
-6.765443932880685907e+00,1.101923058234588915e+00
-8.449376894674927030e+00,1.097569840388683549e+00
-1.002578153385709925e+01,1.093405807499128857e+00
-1.149336725128618752e+01,1.089449584094448698e+00
-1.285095431533486021e+01,1.085719476048865983e+00
-1.409747475176051523e+01,1.082233280437320033e+00
-1.523197312080388599e+01,1.079008091590942353e+00
-1.625360718102783153e+01,1.076060109052447311e+00
-1.716164843952330443e+01,1.073404438889148160e+00
-1.795548258822215359e+01,1.071054911871384796e+00
-1.863460982616952322e+01,1.069023903681713961e+00
-1.919864506772233881e+01,1.067322170347518639e+00
-1.964731803675313415e+01,1.065958708025105839e+00
-1.998047324705056838e+01,1.064940627004382634e+00
-2.019806986922081649e+01,1.064273054589321310e+00
-2.030018148450517401e+01,1.063959064518324338e+00
-2.028699572603964896e+01,1.063959787406116853e+00
-2.015881380819328683e+01,1.063966840518372203e+00
-1.991604994472996282e+01,1.063980326501096529e+00
-1.955923065664751448e+01,1.064000453394527757e+00
-1.908899397065435721e+01,1.064027533719818841e+00
-1.850608850934985128e+01,1.064061983605868233e+00
-1.781137247427912484e+01,1.064104322016590443e+00
-1.700581252313598668e+01,1.064155170094222225e+00
