H_upper,B_upper,H_lower,B_lower,H_init,B_init
-499.2,-1.4479555575,-499.2,-1.50353993458,-499.2,-1.47574774604
-498,-1.44751575741,-498,-1.50336136757,-498,-1.47543856249
-496.8,-1.44707343357,-496.8,-1.50318215356,-496.8,-1.47512779357
-495.6,-1.44662856411,-495.6,-1.50300228902,-495.6,-1.47481542657
-494.4,-1.44618112692,-494.4,-1.50282177036,-494.4,-1.47450144864
-493.2,-1.44573109963,-493.2,-1.50264059397,-493.2,-1.4741858468
-492,-1.44527845961,-492,-1.50245875623,-492,-1.47386860792
-490.8,-1.44482318395,-490.8,-1.50227625347,-490.8,-1.47354971871
-489.6,-1.44436524951,-489.6,-1.50209308202,-489.6,-1.47322916576
-488.4,-1.44390463282,-488.4,-1.50190923815,-488.4,-1.47290693549
-487.2,-1.4434413102,-487.2,-1.50172471813,-487.2,-1.47258301416
-486,-1.44297525763,-486,-1.50153951818,-486,-1.47225738791
-484.8,-1.44250645085,-484.8,-1.50135363452,-484.8,-1.47193004268
-483.6,-1.44203486528,-483.6,-1.50116706332,-483.6,-1.4716009643
-482.4,-1.44156047607,-482.4,-1.50097980072,-482.4,-1.4712701384
-481.2,-1.44108325806,-481.2,-1.50079184285,-481.2,-1.47093755046
-480,-1.44060318579,-480,-1.50060318579,-480,-1.47060318579
-478.8,-1.44012023349,-478.8,-1.5004138256,-478.8,-1.47026702955
-477.6,-1.43963437509,-477.6,-1.50022375832,-477.6,-1.4699290667
-476.4,-1.4391455842,-476.4,-1.50003297994,-476.4,-1.46958928207
-475.2,-1.43865383409,-475.2,-1.49984148643,-475.2,-1.46924766026
-474,-1.43815909774,-474,-1.49964927373,-474,-1.46890418574
-472.8,-1.43766134778,-472.8,-1.49945633775,-472.8,-1.46855884276
-471.6,-1.43716055649,-471.6,-1.49926267437,-471.6,-1.46821161543
-470.4,-1.43665669584,-470.4,-1.49906827943,-470.4,-1.46786248764
-469.2,-1.43614973744,-469.2,-1.49887314876,-469.2,-1.4675114431
-468,-1.43563965254,-468,-1.49867727812,-468,-1.46715846533
-466.8,-1.43512641204,-466.8,-1.49848066327,-466.8,-1.46680353766
-465.6,-1.43460998648,-465.6,-1.49828329993,-465.6,-1.46644664321
-464.4,-1.43409034604,-464.4,-1.49808518379,-464.4,-1.46608776491
-463.2,-1.43356746051,-463.2,-1.49788631049,-463.2,-1.4657268855
-462,-1.43304129931,-462,-1.49768667565,-462,-1.46536398748
-460.8,-1.43251183147,-460.8,-1.49748627485,-460.8,-1.46499905316
-459.6,-1.43197902563,-459.6,-1.49728510365,-459.6,-1.46463206464
-458.4,-1.43144285004,-458.4,-1.49708315756,-458.4,-1.4642630038
-457.2,-1.43090327253,-457.2,-1.49688043207,-457.2,-1.4638918523
-456,-1.43036026054,-456,-1.4966769226,-456,-1.46351859157
-454.8,-1.42981378108,-454.8,-1.49647262459,-454.8,-1.46314320283
-453.6,-1.42926380072,-453.6,-1.49626753339,-453.6,-1.46276566705
-452.4,-1.42871028564,-452.4,-1.49606164434,-452.4,-1.46238596499
-451.2,-1.42815320154,-451.2,-1.49585495276,-451.2,-1.46200407715
-450,-1.4275925137,-450,-1.49564745389,-450,-1.4616199838
-448.8,-1.42702818696,-448.8,-1.49543914297,-448.8,-1.46123366496
-447.6,-1.42646018566,-447.6,-1.49523001519,-447.6,-1.46084510042
-446.4,-1.4258884737,-446.4,-1.49502006569,-446.4,-1.46045426969
-445.2,-1.42531301451,-445.2,-1.49480928959,-445.2,-1.46006115205
-444,-1.42473377103,-444,-1.49459768195,-444,-1.45966572649
-442.8,-1.4241507057,-442.8,-1.49438523783,-442.8,-1.45926797177
-441.6,-1.42356378048,-441.6,-1.4941719522,-441.6,-1.45886786634
-440.4,-1.42297295681,-440.4,-1.49395782003,-440.4,-1.45846538842
-439.2,-1.42237819562,-439.2,-1.49374283623,-439.2,-1.45806051592
-438,-1.42177945731,-438,-1.49352699566,-438,-1.45765322649
